repo,buggy_fix,fix0_file,fix1_file
cyclonedds,1ae6bb9985c05f8742cb31c0bd46f3c7bd8777bd,oss-fuzz-vulns/vulns/cyclonedds/OSV-2023-158.yaml,oss-fuzz-vulns/vulns/cyclonedds/OSV-2023-273.yaml
dnsmasq,d242cbffa4f20c9f7472f79b3a9e47008b6fe77c,oss-fuzz-vulns/vulns/dnsmasq/OSV-2021-927.yaml,oss-fuzz-vulns/vulns/dnsmasq/OSV-2022-11.yaml
dnsmasq,03345ecefeb0d82e3c3a4c28f27c3554f0611b39,oss-fuzz-vulns/vulns/dnsmasq/OSV-2021-1807.yaml,oss-fuzz-vulns/vulns/dnsmasq/OSV-2022-312.yaml
dnsmasq,e426c2d3bc182d790f83039b77a09d55230ca71f,oss-fuzz-vulns/vulns/dnsmasq/OSV-2022-11.yaml,oss-fuzz-vulns/vulns/dnsmasq/OSV-2022-145.yaml
lcms,1394d740d96886b501e0ad04fe926a72eca3f01c,oss-fuzz-vulns/vulns/lcms/OSV-2022-615.yaml,oss-fuzz-vulns/vulns/lcms/OSV-2022-639.yaml
json,93c9e0c703b98f5082413920a62067ae0b68671e,oss-fuzz-vulns/vulns/json/OSV-2022-409.yaml,oss-fuzz-vulns/vulns/json/OSV-2022-425.yaml
libavc,a88e0683a420d7ee9aa4b6f41f94cb8dc0c5e040,oss-fuzz-vulns/vulns/libavc/OSV-2021-631.yaml,oss-fuzz-vulns/vulns/libavc/OSV-2021-1237.yaml
libavc,fa13b3087684ffefd82d61c34e61714881674cd3,oss-fuzz-vulns/vulns/libavc/OSV-2021-631.yaml,oss-fuzz-vulns/vulns/libavc/OSV-2021-1237.yaml
libavc,5fabd43f6af6c5f432c543b8a84e690dfa31a3b2,oss-fuzz-vulns/vulns/libavc/OSV-2023-97.yaml,oss-fuzz-vulns/vulns/libavc/OSV-2023-117.yaml
libavc,f8ae418b38e8ac52cf87425d27cb20925607debc,oss-fuzz-vulns/vulns/libavc/OSV-2023-333.yaml,oss-fuzz-vulns/vulns/libavc/OSV-2023-1180.yaml
libavc,28727baf58aa7c8983769aff1ceecb3121a26ee6,oss-fuzz-vulns/vulns/libavc/OSV-2023-1294.yaml,oss-fuzz-vulns/vulns/libavc/OSV-2024-638.yaml
libavc,992407f6c3e77c9ff84684c77072b913eaa3152b,oss-fuzz-vulns/vulns/libavc/OSV-2023-75.yaml,oss-fuzz-vulns/vulns/libavc/OSV-2023-342.yaml
libavc,37beb9729249a1cde472545e2a19d80660e40edc,oss-fuzz-vulns/vulns/libavc/OSV-2023-1180.yaml,oss-fuzz-vulns/vulns/libavc/OSV-2023-1378.yaml
simdutf,72af817153515c8715417794e7b0d7b91eb1be12,oss-fuzz-vulns/vulns/simdutf/OSV-2023-272.yaml,oss-fuzz-vulns/vulns/simdutf/OSV-2023-278.yaml
draco,25484b31235d1a35fa72be6ce8d1f7f286b5c0bf,oss-fuzz-vulns/vulns/draco/OSV-2020-1018.yaml,oss-fuzz-vulns/vulns/draco/OSV-2020-824.yaml
jq,6ce6e7c71355a0b6006e9e3371364f6945da5a29,oss-fuzz-vulns/vulns/jq/OSV-2024-330.yaml,oss-fuzz-vulns/vulns/jq/OSV-2024-852.yaml
oniguruma,8b8b37ef8864a976641d4382293de7fe3d5edd62,oss-fuzz-vulns/vulns/oniguruma/OSV-2020-1235.yaml,oss-fuzz-vulns/vulns/oniguruma/OSV-2020-53.yaml
hunspell,f3f90ae7301595761d3445097ce111ffd5220e2d,oss-fuzz-vulns/vulns/hunspell/OSV-2022-1049.yaml,oss-fuzz-vulns/vulns/hunspell/OSV-2022-1054.yaml
serenity,51b880b0383089822f513330cd64f93b54b9f21c,oss-fuzz-vulns/vulns/serenity/OSV-2021-16.yaml,oss-fuzz-vulns/vulns/serenity/OSV-2021-804.yaml
mruby,264239f78fb9ec8047cf04b82f547fc41d65ab28,oss-fuzz-vulns/vulns/mruby/OSV-2020-447.yaml,oss-fuzz-vulns/vulns/mruby/OSV-2020-562.yaml
mruby,8d1192f8a28034b1931a41e8c55cd86715101d0c,oss-fuzz-vulns/vulns/mruby/OSV-2023-176.yaml,oss-fuzz-vulns/vulns/mruby/OSV-2023-384.yaml
mruby,2de602b8696bc21e4cbc2c6e08e2fae27b1ad79b,oss-fuzz-vulns/vulns/mruby/OSV-2023-252.yaml,oss-fuzz-vulns/vulns/mruby/OSV-2023-280.yaml
mruby,abcad36bae43f2c7cb8c2b1753dc94ab4cf25366,oss-fuzz-vulns/vulns/mruby/OSV-2024-96.yaml,oss-fuzz-vulns/vulns/mruby/OSV-2024-104.yaml
libheif,8bec5d258e1e6a1a9a6b04fd15716925cceadd17,oss-fuzz-vulns/vulns/libheif/OSV-2021-594.yaml,oss-fuzz-vulns/vulns/libheif/OSV-2023-1129.yaml
lwan,5a47a0c2d988d3b3b1c8d3938b7a994f464469b5,oss-fuzz-vulns/vulns/lwan/OSV-2020-1165.yaml,oss-fuzz-vulns/vulns/lwan/OSV-2020-504.yaml
icu,a7e378d58788962bd520052cf92ae5cc63be5d8f,oss-fuzz-vulns/vulns/icu/OSV-2020-418.yaml,oss-fuzz-vulns/vulns/icu/OSV-2020-845.yaml
mupdf,43a0278d42ac1b350ce6b582f9d0e3d7785a17b6,oss-fuzz-vulns/vulns/mupdf/OSV-2018-300.yaml,oss-fuzz-vulns/vulns/mupdf/OSV-2018-358.yaml
mupdf,ce3e98c07e29dab2743e792e478395ed30d27dc1,oss-fuzz-vulns/vulns/mupdf/OSV-2018-358.yaml,oss-fuzz-vulns/vulns/mupdf/OSV-2018-362.yaml
opensc,7a1e42e1352201127d1a97b6cb5f41e48cace0f5,oss-fuzz-vulns/vulns/opensc/OSV-2020-525.yaml,oss-fuzz-vulns/vulns/opensc/OSV-2020-366.yaml
opensc,b02da8348be97d4b24081783f6af46757373bc3e,oss-fuzz-vulns/vulns/opensc/OSV-2020-209.yaml,oss-fuzz-vulns/vulns/opensc/OSV-2020-2178.yaml
opensc,732ed77ad67e5303c46c0fa767929afd87076c87,oss-fuzz-vulns/vulns/opensc/OSV-2020-1860.yaml,oss-fuzz-vulns/vulns/opensc/OSV-2020-1981.yaml
opensc,972d3292eee44e9b4c61769365a3ec651ec18f39,oss-fuzz-vulns/vulns/opensc/OSV-2022-437.yaml,oss-fuzz-vulns/vulns/opensc/OSV-2022-604.yaml
opensc,74a8f296e0f195916d28e1c928f457e04aa22892,oss-fuzz-vulns/vulns/opensc/OSV-2022-421.yaml,oss-fuzz-vulns/vulns/opensc/OSV-2022-437.yaml
espeak-ng,26a675543c63832e37ec780a6c30e49707df1db4,oss-fuzz-vulns/vulns/espeak-ng/OSV-2021-808.yaml,oss-fuzz-vulns/vulns/espeak-ng/OSV-2023-467.yaml
espeak-ng,7f1222c6ad6a3652be35afbbc980a382076ff0a9,oss-fuzz-vulns/vulns/espeak-ng/OSV-2021-808.yaml,oss-fuzz-vulns/vulns/espeak-ng/OSV-2023-467.yaml
